GO:0000005	 GO:0042254
GO:0000005	 GO:0044183
GO:0000005	 GO:0051082
GO:0000008	 GO:0003756
GO:0000008	 GO:0015036
GO:0000020	 GO:0045950
GO:0000039	 GO:0005324
GO:0000039	 GO:0005886
GO:0000044	NA
GO:0000047	 GO:0009055
GO:0000051	NA
GO:0000059	NA
GO:0000060	NA
GO:0000061	NA
GO:0000067	 GO:0006260
GO:0000067	 GO:0007059
GO:0000067	 GO:0051276
GO:0000072	 GO:0007017
GO:0000078	 GO:0044878
GO:0000078	 GO:0044879
GO:0000094	 GO:0000917
GO:0000094	 GO:0000918
GO:0000094	 GO:0000921
GO:0000108	NA
GO:0000114	 GO:0000083
GO:0000114	 GO:0006357
GO:0000115	 GO:0000083
GO:0000115	 GO:0006357
GO:0000116	 GO:0000117
GO:0000116	 GO:0006357
GO:0000174	NA
GO:0000180	 GO:0022625
GO:0000181	 GO:0022627
GO:0000185	 GO:0000165
GO:0000185	 GO:0043539
GO:0000186	 GO:0000165
GO:0000186	 GO:0043539
GO:0000187	 GO:0000165
GO:0000187	 GO:0043539
GO:0000188	 GO:0000165
GO:0000188	 GO:0043539
GO:0000189	 GO:0006606
GO:0000190	NA
GO:0000191	NA
GO:0000192	NA
GO:0000193	NA
GO:0000194	NA
GO:0000195	NA
GO:0000197	 GO:0000165
GO:0000197	 GO:0043539
GO:0000198	NA
GO:0000199	NA
GO:0000200	NA
GO:0000201	 GO:0006606
GO:0000202	NA
GO:0000203	NA
GO:0000204	NA
GO:0000205	NA
GO:0000206	NA
GO:0000207	NA
GO:0000208	 GO:0006606
GO:0000211	 GO:0005515
GO:0000211	 GO:0019941
GO:0000216	NA
GO:0000219	 GO:0016469
GO:0000229	NA
GO:0000230	 GO:0000794
GO:0000231	 GO:0000793
GO:0000232	 GO:0000228
GO:0000233	 GO:0005694
GO:0000258	 GO:0005283
GO:0000258	 GO:0005304
GO:0000258	 GO:0015188
GO:0000259	 GO:0005337
GO:0000259	 GO:0005622
GO:0000260	NA
GO:0000261	NA
GO:0000263	 GO:0003924
GO:0000263	 GO:0005834
GO:0000264	 GO:0003924
GO:0000264	 GO:0005834
GO:0000265	 GO:0003924
GO:0000265	 GO:0005834
GO:0000267	 GO:0005575
GO:0000284	NA
GO:0000299	 GO:0016021
GO:0000300	 GO:0019898
GO:0000362	NA
GO:0000363	NA
GO:0000364	NA
GO:0000367	NA
GO:0000456	NA
GO:0000504	NA
GO:0000726	NA
GO:0000733	 GO:0036310
GO:0000739	 GO:0036292
GO:0000739	 GO:0036310
GO:0000757	NA
GO:0000759	NA
GO:0000763	NA
GO:0000764	NA
GO:0000826	 GO:0052746
GO:0000903	NA
GO:0000988	 GO:0005515
GO:0000988	 GO:0140110
GO:0000989	 GO:0008134
GO:0000989	 GO:0140110
GO:0000990	 GO:0043175
